sep=;
ID;Numeric ID;Pre-flattening ID;Added in Version;Fallback
baked_potato;393;;1.4.2;
poisonous_potato;394;;1.4.2;
map;395;;1.4.2;
golden_carrot;396;;1.4.2;
skull;397;;1.4.2;
carrot_on_a_stick;398;;1.4.2;
nether_star;399;;1.4.2;
pumpkin_pie;400;;1.4.2;cake
firework_rocket;401;;1.4.6;
firework_star;402;;1.4.6;gunpowder
enchanted_book;403;;1.4.6;book
comparator;404;;1.5;repeater
nether_brick;405;nether_brick;1.5;brick
nether_quartz;406;;1.5;
tnt_minecart;407;;1.5;minecart
hopper_minecart;408;;1.5;minecart
prismarine_shard;409;;1.8;
prismarine_crystals;410;;1.8;
rabbit;411;;1.8;chicken
cooked_rabbit;412;;1.8;cooked_chicken
rabbit_stew;413;;1.8;mushroom_stew
rabbit_foot;414;;1.8;
rabbit_hide;415;;1.8;leather
armor_stand;416;;1.8;stick
iron_horse_armor;417;;1.6.1;
golden_horse_armor;418;;1.6.1;
diamond_horse_armor;419;;1.6.1;
lead;420;;1.6.1;string
name_tag;421;;1.6.1;
command_block_minecart;422;;1.7.2;
mutton;423;;1.8;beef
cooked_mutton;424;;1.8;cooked_beef
banner;425;;1.8;
end_crystal;426;;1.9;diamond
spruce_door;427;;1.8;oak_door
birch_door;428;;1.8;oak_door
jungle_door;429;;1.8;oak_door
acacia_door;430;;1.8;oak_door
dark_oak_door;431;;1.8;oak_door
chorus_fruit;432;;1.9;
popped_chorus_fruit;433;;1.9;
beetroot;434;;1.9;carrot
beetroot_seeds;435;;1.9;wheat_seeds
beetroot_soup;436;;1.9;mushroom_stew
dragon_breath;437;;1.9;glass_bottle
splash_potion;438;;1.0;potion
specral_arrow;439;;1.9;arrow
tipped_arrow;440;;1.9;arrow
lingering_potion;441;;1.9;potion
shield;442;;1.9;
elytra;443;;1.9;
spruce_boat;444;;1.9;oak_boat
birch_boat;445;;1.9;oak_boat
jungle_boat;446;;1.9;oak_boat
acacia_boat;447;;1.9;oak_boat
dark_oak_boat;448;;1.9;oak_boat
totem_of_undying;449;;1.11;
shulker_shell;450;;1.11;
iron_nugget;452;;1.11.1;iron_ingot
knowledge_book;453;;1.12;book
music_disc_13;2256;record_13;a1.0.14;
music_disc_cat;2257;record_cat;a1.0.14;
music_disc_blocks;2258;record_blocks;1.0.0;music_disc_cat
music_disc_chirp;2259;record_chirp;1.0.0;music_disc_cat
music_disc_far;2260;record_far;1.0.0;music_disc_cat
music_disc_mall;2261;record_mall;1.0.0;music_disc_cat
music_disc_mellohi;2262;record_mellohi;1.0.0;music_disc_cat
music_disc_stal;2263;record_stal;1.0.0;music_disc_cat
music_disc_strad;2264;record_strad;1.0.0;music_disc_cat
music_disc_ward;2265;record_ward;1.0.0;music_disc_cat
music_disc_11;2266;record_11;1.0.0;music_disc_cat
music_disc_wait;2267;record_wait;1.0.0;music_disc_cat
debug_stick;;;1.13;stick
trident;;;1.13;arrow
dried_kelp;;;1.13;
turtle_scute;;;1.13;
turtle_shell;;;1.13;iron_helmet
cod_bucket;;;1.13;water_bucket
salmon_bucket;;;1.13;water_bucket
pufferfish_bucket;;;1.13;water_bucket
tropical_fish;;;1.13;cod
tropical_fish_bucket;;;1.13;water_bucket
phantom_membrane;;;1.13;
heart_of_the_sea;;;1.13;diamond
nautilus_shell;;;1.13;
flower_banner_pattern;;;1.14;paper
creeper_banner_pattern;;;1.14;paper
skull_banner_pattern;;;1.14;paper
mojang_banner_pattern;;;1.14;paper
white_dye;;;1.14;bone_meal
black_dye;;;1.14;ink_sac
brown_dye;;;1.14;cocoa_beans
blue_dye;;;1.14;lapis_lazuli
crossbow;;;1.14;bow
suspicious_stew;;;1.14;mushroom_stew
sweet_berries;;;1.14;
leather_horse_armor;;;1.14;iron_horse_armor
globe_banner_pattern;;;1.14;paper
honey_bottle;;;1.15;glass_bottle
honeycomb;;;1.15;slimeball
netherite_ingot;;;1.16;diamond
netherite_scrap;;;1.16;diamond
netherite_helmet;;;1.16;diamond_helmet
netherite_chestplate;;;1.16;diamond_chestplate
netherite_leggings;;;1.16;diamond_leggings
netherite_boots;;;1.16;diamond_boots
netherite_shovel;;;1.16;diamond_shovel
netherite_axe;;;1.16;diamond_axe
netherite_pickaxe;;;1.16;diamond_pickaxe
netherite_hoe;;;1.16;diamond_hoe
netherire_sword;;;1.16;diamond_sword
warped_fungus_on_a_stick;;;1.16;carrot_on_a_stick
piglin_banner_pattern;;;1.16;skull_banner_pattern
music_disc_pigstep;;;1.16;music_disc_cat
amethyst_shard;;;1.17;diamond
bundle;;;1.17;
copper_ingot;;;1.17;iron_ingot
spyglass;;;1.17;
powder_snow_bucket;;;1.17;water_bucket
axolotl_bucket;;;1.17;cod_bucket
glow_item_frame;;;1.17;item_frame
glow_ink_sac;;;1.17;ink_sac
glow_berries;;;1.17;sweet_berries
raw_copper;;;1.17;iron_ore
raw_iron;;;1.17;iron_ore
raw_gold;;;1.17;gold_ore
music_disc_otherside;;;1.18;music_disc_cat
tadpole_bucket;;;1.19;water_bucket
mangrove_boat;;;1.19;dark_oak_boat
oak_chest_boat;;;1.19;oak_boat
spruce_chest_boat;;;1.19;spruce_boat
birch_chest_boat;;;1.19;birch_chest_boat
acacia_chest_boat;;;1.19;acacia_boat
dark_oak_chest_boat;;;1.19;dark_oak_boat
mangrove_chest_boat;;;1.19;dark_oak_boat
echo_shard;;;1.19;amethyst_shard
recovery_compass;;;1.19;compass
music_disc_5;;;1.19;music_disc_11
disc_fragment_5;;;1.19;
goat_horn;;;1.19;
bamboo_raft;;;1.20;jungle_boat
bamboo_chest_raft;;;1.20;jungle_chest_boat
netherite_upgrade_smithing_template;;;1.20;
sentry_armor_trim_smithing_template;;;1.20;
vex_armor_trim_smithing_template;;;1.20;
wild_armor_trim_smithing_template;;;1.20;
coast_armor_trim_smithing_template;;;1.20;
dune_armor_trim_smithing_template;;;1.20;
ward_armor_trim_smithing_template;;;1.20;
tide_armor_trim_smithing_template;;;1.20;
snout_armor_trim_smithing_template;;;1.20;
rib_armor_trim_smithing_template;;;1.20;
eye_armor_trim_smithing_template;;;1.20;
spire_armor_trim_smithing_template;;;1.20;
wayfinder_armor_trim_smithing_template;;;1.20;
raiser_armor_trim_smithing_template;;;1.20;
shaper_armor_trim_smithing_template;;;1.20;
host_armor_trim_smithing_template;;;1.20;
silence_armor_trim_smithing_template;;;1.20;
cherry_boat;;;1.20;birch_boat
cherry_chest_boat;;;1.20;birch_chest_boat
angler_pottery_sherd;;;1.20;brick
archer_pottery_sherd;;;1.20;brick
arms_up_pottery_sherd;;;1.20;brick
blade_pottery_sherd;;;1.20;brick
brewer_pottery_sherd;;;1.20;brick
burn_pottery_sherd;;;1.20;brick
danger_pottery_sherd;;;1.20;brick
explorer_pottery_sherd;;;1.20;brick
friend_pottery_sherd;;;1.20;brick
heart_pottery_sherd;;;1.20;brick
heartbreak_pottery_sherd;;;1.20;brick
howl_pottery_sherd;;;1.20;brick
miner_pottery_sherd;;;1.20;brick
mourner_pottery_sherd;;;1.20;brick
plenty_pottery_sherd;;;1.20;brick
prize_pottery_sherd;;;1.20;brick
sheaf_pottery_sherd;;;1.20;brick
shelter_pottery_sherd;;;1.20;brick
skull_pottery_sherd;;;1.20;brick
snort_pottery_sherd;;;1.20;brick
torchflower_seeds;;;1.20;wheat_seeds
brush;;;1.20;feather
armadillo_scute;;;1.20.5;turtle_scute
wolf_armor;;;1.20.5;leather_horse_armor
flow_pottery_sherd;;;1.20.5;brick
guster_pottery_sherd;;;1.20.5;brick
scrape_pottery_sherd;;;1.20.5;brick
trial_key;;;1.21;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
